2	0	0	0	2	0
3	0	0	0	0	0
6	1	0	0	1	0
8	1	0	0	-1	0
9	1	0	0	0	0
10	0	0	0	3	0
12	0	0	0	0	0
13	1	0	0	-1	0
14	1	0	0	3	0
18	1	0	0	1	0
19	0	0	0	-1	0
23	1	0	0	-1	0
26	0	0	0	-1	0
27	0	0	0	0	0
29	1	0	0	-1	0
32	1	0	0	-1	0
36	0	0	0	2	0
38	1	0	0	2	0
42	1	0	0	1	0
43	0	0	0	-1	0
45	1	0	0	1	0
46	0	0	0	2	0
48	1	0	0	0	0
50	1	0	0	3	0
52	1	0	0	3	0
53	1	0	0	3	0
55	0	0	0	0	0
57	1	0	0	-1	0
58	0	0	0	1	0
59	1	0	0	2	0
60	1	0	0	2	0
61	0	0	0	-1	0
65	1	0	0	0	0
66	0	0	0	-1	0
67	0	0	0	3	0
70	1	0	0	3	0
71	0	0	0	-1	0
73	1	0	0	3	0
76	0	0	0	1	0
78	0	0	0	2	0
80	1	0	0	1	0
82	0	0	0	1	0
83	1	0	0	2	0
84	1	0	0	-1	0
86	1	0	0	1	0
87	1	0	0	1	0
89	1	0	0	3	0
90	1	0	0	2	0
97	1	0	0	0	0
99	0	0	0	0	0
